id вуза;Федеральный округ;Регион;Аббревиатура;Название ВУЗа;Тип вуза;Направление вуза;Официальный сайт;Адрес;Телефон приемной комиссии;Сведения о лицензии;О вузе в фифрах;Форма обучения;Международные программы;Возможность получения двойного диплома;Наличие военной кафедры;Отсрочка от армии;Внеучебная деятельность;Общежитие;Стоимость общежития по бюджету (мес);Стоимость общежития по договору (мес);Государственная академическая стипендия (мес.);Стипендия за особые успехи в учебе;Стипендия по социальным льготам;Известные выпускники
0260;Северо-Западный ФО;г. Санкт-Петербург;ВмедА им. Кирова;Военно-медицинская академия им. С.М. Кирова;Государственный;Медицина и здравоохранение;www.vmeda.org;г. Санкт-Петербург, ул. Академика Лебедева, д. 6;+7 (812) 292-32-66;№1817 от 09.12.15 ;"<ul>
<li>Более 200 лет истории</li>
<li>Более 9 почетных орденов</li>
<li>6 лечебно-диагностических и научных центров</li>
<li>8 факультетов&nbsp;</li>
<li>64 кафедры</li>
<li>экспериментальная клиника</li>
</ul>";;;;Нет;Есть;;Есть;;;2 000  — 7 000 ₽;;;
0261;Северо-Западный ФО;г. Санкт-Петербург;СПбАУ РАН;Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук;Государственный;Широкий профиль;www.spbau.ru;г. Санкт-Петербург, ул. Хлопина, д. 8, корп. 3;+7 (812) 297-21-45;№0724 от 17.02.11;<ul><li>9 кафедр</li><li>8 компаний-партнеров</li><li>Проведено более 200 конференций по различным областям науки</li><li>В 2011 году получил статус Национального исследовательского университета</li></ul>;;;;Нет;Есть;;Есть;;;3 000 — 5 000 ₽;;;
0262;Северо-Западный ФО;г. Санкт-Петербург;НГУ им. П.Ф. Лесгафта;Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта;Государственный;Спорт и физическая культура;www.lesgaft.spb.ru;г. Санкт-Петербург, ул. Декабристов, д. 35;+7 (812) 714-06-74;№2597 от 30.05.17 ;<ul><li>174 золотые олимпийские медали завоевали студенты вуза</li><li>700 золотых медалей на чемпионатах мира и Европы</li><li>Свыше 300 выпускников вуза носят звание Заслуженный мастер спорта</li><li>более 500 выпускников являются Заслуженными тренерами по различным видам спорта</li></ul>;;;;Нет;Есть;;Есть;;;1 340 — 1 675 ₽;;;
0263;Северо-Западный ФО;г. Санкт-Петербург;СПбУ МВД России;Санкт-Петербургский университет МВД РФ;Государственный;Офицеры и военное дело;www.университет.мвд.рф;г. Санкт-Петербург, ул. Летчика Пилютова, д. 1;+7 (812) 744-13-62;№1734 от 29.11.15;"<ul>
<li>1969 - год основания</li>
<li>8 000 студентов</li>
<li>401 преподаватель</li>
<li>72 доктора наук</li>
<li>155 профессоров</li>
</ul>";;;;Нет;Есть;;Есть;;;15025;;;
0264;Северо-Западный ФО;г. Санкт-Петербург;СПбГК им. Н.А.Римского-Корсакова;Санкт-Петербургская государственная консерватория им. Н.А.Римского-Корсакова;Государственный;Культура и искусство;www.conservatory.ru;г. Санкт-Петербург, ул. Глинки, д. 2, лит. А;+7 (812) 571-75-67 ;№1100 от 10.10.14;"<ul>
<li>1882 - год основания университета</li>
<li>870 студентов ежегодно</li>
<li>7 факультетов</li>
</ul>";;;;Нет;Есть;;Есть;;;от 1 340 ₽;;;
0265;Северо-Западный ФО;г. Санкт-Петербург;СПбГПС;Санкт-Петербургский университет ГПС МЧС РФ;Государственный;Офицеры и военное дело;www.igps.ru;г. Санкт-Петербург, Московский просп., д. 149;+7 (812) 369-55-18;№1784 от 25.11.15;"<ul>
<li>7013 студентов</li>
<li>6 институтов</li>
<li>3 факультета</li>
<li>1 филиал</li>
<li>15 представительств</li>
</ul>";;;;Нет;Есть;;Есть;;;10000;;;
0266;Северо-Западный ФО;г. Санкт-Петербург;БГТУ «ВОЕНМЕХ» им.Д.Ф.Устинова;Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;Государственный;Технологии и технические науки;www.voenmeh.ru;г. Санкт-Петербург, 1-я Красноармейская ул., д. 21;+7 (812) 495-77-99;№2238 от 28.06.16;"<ul>
<li>1871 год - год основания</li>
<li>60 000 специалистов-выпускников</li>
<li>5 факультетов</li>
<li>3 общежития</li>
<li>7 читальных залов в библиотеке</li>
</ul>";;;;Нет;Есть;;Есть;;;1407;;;
0267;Центральный ФО;Воронежская область;ВИ МВД России;Воронежский институт МВД РФ;Государственный;Офицеры и военное дело;www.vi.mvd.ru;г. Воронеж, просп. Патриотов, д. 53;+7 (473) 247-67-07;№1742 от 08.11.15.;"<ul>
<li>1979 - год открытия института</li>
<li>115 мест в гостинице института</li>
<li>650 кв м - площадь зала борьбы</li>
<li>1 стадион</li>
</ul>";;;;Нет;Есть;;Нет;;;от 1 340 ₽;;;
0268;Северо-Западный ФО;г. Санкт-Петербург;СПб ГИПСР;Санкт-Петербургский государственный институт психологии и социальной работы;Государственный;Гуманитарные науки;www.psysocwork.ru;г. Санкт-Петербург, 12-я линия В.О., д. 13;+7 (812) 323-07-70;№2491 от 30.11.16;<ul><li>3 факультета</li><li>7кафедр</li><li>11 направлений обучения</li></ul>;;;;Нет;Есть;;Нет;;;от 1 340 ₽;;;
0269;Северо-Западный ФО;г. Санкт-Петербург;ВКА им.А.Ф.Можайского Минобороны РФ;Военно-космическая академия им. А.Ф. Можайского;Государственный;Офицеры и военное дело;www.vka.spb.ru;г. Санкт-Петербург, ул. Ждановская, д. 13.;+7 (812) 347-97-70;№2293 от 29.07.16;"<ul>
<li>12 факультетов</li>
<li>16 кафедр</li>
<li>1 библиотека</li>
<li>Подготовлено около 46 тысяч офицеров</li>
</ul>";;;;Нет;Есть;;Есть;;;от 1 340 ₽;;;
0270;Сибирский ФО;Новосибирская область;НГМУ;Новосибирский государственный медицинский университет;Государственный;Медицина и здравоохранение;www.ngmu.ru;г. Новосибирск, Красный просп., д. 52;+7 (383) 222-27-16;№2344 от 18.08.16;<ul><li>8 факультетов</li><li>5 000 студентов</li><li>32 000 врачей подготовлены в вузе за время его существования</li></ul>;;;;Нет;Есть;;Есть;;;1608;;;
0271;Сибирский ФО;Красноярский край;СибЮИ МВД РФ;Сибирский юридический институт МВД РФ;Государственный;Офицеры и военное дело;www.сибюи.мвд.рф;г. Красноярск, ул. Рокоссовского, д. 20;+7 (391) 222-41-80;№2374 от 12.09.16;"<ul>
<li>4 криминалистических полигона</li>
<li>15 кафедр</li>
<li>2 общежития</li>
<li>3 компьютерных класса</li>
<li>2 кабинета криминалистической техники</li>
</ul>";;;;Нет;Есть;;Есть;;;от 1 340 ₽;;;
0272;Сибирский ФО;Красноярский край;КрасГМУ им.проф.В.Ф.Войно-Ясенецкого;Красноярский государственный медицинский университет им. В.Ф.Войно-Ясенецкого;Государственный;Медицина и здравоохранение;www.krasgmu.ru;г. Красноярск, ул. Партизана Железняка, д.1;+7 (391) 228-08-58;№2376 от 12.09.16;"<ul>
<li>1 библиотека</li>
<li>Спортивная площадка</li>
<li>7 факультетов</li>
<li>731 преподаватель</li>
<li>Лыжная база</li>
</ul>";;;;Нет;Есть;;Есть;;;1 781 — 2 672 ₽;;;
0273;Сибирский ФО;Омская область;ОмА МВД России;Омская академия Министерства внутренних дел Российской Федерации;Государственный;Офицеры и военное дело;www.ома.мвд.рф;г. Омск, просп. Комарова, д. 7;+7 (381) 275-15-60;№1628 от 02.09.15 ;<ul><li>Подготовлено более 60 тысяч специалистов для органов внутренних дел</li><li>Среди выпускников – более 60 докторов наук</li><li>4 выпускника удостоены звания Героя России</li></ul>;;;;Нет;Есть;;Есть;;;11 500 — 14 375 ₽;;;
0274;Уральский ФО;Свердловская область;ЕАСИ(И);Екатеринбургская академия современного искусства;Государственный;Культура и искусство;еаси.екатеринбург.pф;г. Екатеринбург, ул. Красных Партизан, д. 9;+7 (343) 346-72-88;№1952 от 20.02.16;"<ul>
<li>3 кафедры</li>
<li>5 учебных программ</li>
<li>15 преподавателей</li>
</ul>";;;;Нет;Есть;;Нет;;;1 565 — 2 065 ₽;;;
0275;Уральский ФО;Свердловская область;ЕГТИ;Екатеринбургский государственный театральный институт;Государственный;Гуманитарные науки;www.egti.ru;г. Екатеринбург, ул. Вайнера, д. 2;+7 (343) 372-02-42;№1850 от 28.12.15 ;"<ul>
<li>Учебный театр</li>
<li>1 библиотека</li>
<li>8 кафедр</li>
<li>1 общежитие</li>
</ul>";;;;Нет;Есть;;Есть;;;1 484 — 8 692 ₽;;;
0276;Уральский ФО;Тюменская область;ТюмГМУ;Тюменский государственный медицинский университет;Государственный;Медицина и здравоохранение;www.tyumsmu.ru;г. Тюмень, ул. Одесская, д. 54;+7 (3452) 20-05-35;№2434 от 21.10.16;<ul><li>4 000 студентов</li><li>3 факультета</li><li>6+ научных центров</li></ul>;;;;Нет;Есть;;Есть;;;1 800 — 2 200 ₽;;;
0277;Уральский ФО;Пермский край;ПГФА;Пермская государственная фармацевтическая академия;Государственный;Медицина и здравоохранение;www.pfa.ru;г. Пермь, ул. Полевая, д. 2;+7 (342) 262-36-80;№2395 от 21.09.16;<ul><li>80 лет истории</li><li>5 факультетов</li><li>21 кафедра</li></ul>;;;;Нет;Есть;;Есть;;;1 340 — 1 675 ₽;;;
0278;Уральский ФО;Челябинская область;УралГУФК;Уральский государственный университет физической культуры;Государственный;Спорт и физическая культура;www.uralgufk.ru;г. Челябинск, ул. Орджоникидзе, д. 1;+7 (351) 217-04-47;№2149 от 19.05.16;<ul><li>40 видов спорта</li><li>5 факультетов</li><li>14 профессоров</li></ul>;;;;Нет;Есть;;Есть;;;1650;;;
0279;Уральский ФО;Челябинская область;ЮУГМУ;Южно-Уральский государственный медицинский университет;Государственный;Медицина и здравоохранение;www.chelsma.ru;г. Челябинск, ул. Воровского, д. 64;+7 (351) 731-69-13;№2439 от 19.10.16;<ul><li>7 факультетов</li><li>687 преподавателей</li><li> Центр практических навыков</li></ul>;;;;Нет;Есть;;Есть;;;1484;;;
0280;Уральский ФО;Краснодарский край;ЮУрГИИ им. П.И. Чайковского;Южно-Уральский государственный институт искусств им. П.И. Чайковского;Государственный;Культура и искусство;www.uyrgii.ru;г. Челябинск, ул. Плеханова, д. 41;+7 (351) 264-72-67;№2150 от 19.05.16;<ul><li>4 факультета</li><li>6 направлений подготовки</li><li>300+ преподавателей</li></ul>;;;;Нет;Есть;;Есть;;;1676;;;
0281;Уральский ФО;Свердловская область;УрГАХУ;Уральский государственный архитектурно-художественный университет;Государственный;Культура и искусство;www.usaaa.ru;г. Екатеринбург, ул. Карла Либкнехта, д. 23;+7 (343) 371-33-69;№2286 от 22.07.16;"<ul>
<li>5 факультетов</li>
<li>1 библиотека</li>
<li>2 общежития</li>
<li>Современный спорткомплекс</li>
</ul>";;;;Нет;Есть;;Есть;;;1 840 — 3 680 ₽;;;
0282;Центральный ФО;г. Москва;МосУ МВД РФ им.Кикотя;"Московский университет министерства внутренних дел российской федерации имени В.Я. Кикотя
";Государственный;Офицеры и военное дело;www.мосу.мвд.рф;г. Москва, ул. Академика Волгина, д. 12;+7 (495) 779-39-57;№1633 от 07.09.15;"<ul>
<li>4 учебно-научных комплекса</li>
<li>9 факультетов</li>
<li>10 специальностей</li>
<li>3215 выпускников с отличием</li>
</ul>";;;;Есть;Есть;;Есть;;;13354;;;
0283;Центральный ФО;г. Москва;ВГИК;Всероссийский государственный институт кинематографии им. С.А. Герасимова;Государственный;Культура и искусство;www.vgik.info;г. Москва, ул. Вильгельма Пика, д. 3;+7 (499) 181-13-14;№1665 от 28.09.15;"<ul>
<li>Учебный театр</li>
<li>7 факультетов</li>
<li>1 общежитие</li>
<li>7 лабораторий</li>
</ul>";;;;Нет;Есть;;Есть;;; от 1 340 ₽;;;
0284;Центральный ФО;Воронежская область;ВИ ФСИН;Воронежский институт ФСИН РОССИИ;Государственный;Офицеры и военное дело;vi.fsin.su;г. Воронеж , ул. Иркутская, д. 1А;+7 (473) 260-68-01;№2075 от 13.04.16;<ul><li>3 направления подготовки</li><li>Спортивные секции</li><li>2000 обучающихся</li></ul>;;;;Нет;Есть;;Есть;;; от 1 340 ₽;;;
0285;Южный ФО;Краснодарский край;КубГМУ Минздрава России;Кубанский государственный медицинский университет;Государственный;Медицина и здравоохранение;www.ksma.ru;г. Краснодар, ул. Митрофана Седина, д. 4;+7 (861) 268-68-50;№2407 от 26.09.16;<ul><li>7 факультетов</li><li>1 базовая акушерско-гинекологическая клиника</li><li>1 стоматологическая поликлиника</li></ul>;;;;Есть;Есть;;Есть;;;2 800 — 4 400 ₽;;;
0286;Южный ФО;Тюменская область;РЮИ;Ростовский юридический институт Министерства внутренних дел Российской Федерации;Государственный;Офицеры и военное дело;www.рюи.мвд.рф;г. Ростов-на-Дону, ул. Ерёменко, д. 83;+7 (863) 207-86-56;№2427 от 07.10.16;<ul><li> 1961 - год основания</li><li>1 филиал</li><li>11 кафедр подготовки</li><li>3 факультета</li></ul>;;;;Нет;Есть;;Есть;;;от 1 340 ₽;;;
0287;Южный ФО;Ростовская область;РостГМУ;Ростовский государственный медицинский университет;Государственный;Медицина и здравоохранение;www.rostgmu.ru;г. Ростов-на-Дону, пер .Нахичеванский, д. 29;+7 (863) 201-43-96;№2604 от 22.06.17;<ul><li>168 докторов наук</li><li>6 направлений подготовки</li><li> собственная клиника</li></ul>;;;;Есть;Есть;;Есть;;;от 1 340 ₽;;;
0288;Приволжский ФО;Нижегородская область;НПА;Нижегородская правовая академия;Негосударственный;Гуманитарные науки;www.nounpa.ru;г. Нижний Новгород, ул. Костина, д. 2Б;+7 (831) 430-64-16;№0712 от 06.05.13;"<ul>
<li>7 кафедр</li>
<li>более 95% трудоустроенных выпускников</li>
<li>3 профиля подготовки</li>
<li>Юридическая клиника</li>
<li>Лаборатория независимой судебной экспертизы</li>
</ul>";;;;Нет;Есть;;Нет;;;Нет;;;
0289;Приволжский ФО;Республика Татарстан;АСО;Академия социального образования;Негосударственный;Гуманитарные науки;www.aso-ksui.ru;г. Казань, ул. Дементьева, д. 26а;+7 (843) 555-61-82;№1175 от 04.12.14  ;"<ul>
<li>20 лет истории существования</li>
<li>2 факультета</li>
<li>9 кафедр</li>
<li>6 основных направлений подготовки</li>
<li>1 филиал</li>
</ul>";;;;Нет;Есть;;Нет;;;Нет;;;
0290;Приволжский ФО;Республика Татарстан;РИИ;Российский исламский институт;Негосударственный;Религиоведение;www.kazanriu.ru;г. Казань, ул. Газовая, д. 19;+7 (843) 251‑01-55;№1929 от 08.02.16;<ul><li>4 направления подготовки</li><li>9 факультетов</li><li>697 преподавателей</li></ul>;;;;Нет;Есть;;Есть;;;Нет;;;
0291;Северо-Западный ФО;г. Санкт-Петербург;ВХУТЕИН ;Художественно-технический институт;Негосударственный;Культура и искусство;www.vhutein.ru;г. Санкт-Петербург, Лесной просп., д. 62;+7 (905) 265-70-59;№2588 от 18.05.17;"<ul>
<li>2 факультета</li>
<li>1 электронно-библиотечная система ""Лань""</li>
<li>1 общежитие</li>
<li>7 творческих коллективов</li>
</ul>";;;;Нет;Нет;;Есть;;;Нет;;;
0292;Северо-Западный ФО;г. Санкт-Петербург;СПБЮА;Санкт-Петербургская юридическая академия;Негосударственный;Гуманитарные науки;www.jurac.ru;г. Санкт-Петербург, просп. Обуховской Обороны, д. 114a;+7 (812) 677-00-07;№2394 от 20.09.16 ;<ul><li>Более 3100 выпускников, 210 из которых получили диплом с отличием</li><li>1997 - год основания</li><li>7 кафедр</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0293;Северо-Западный ФО;г. Санкт-Петербург;МБИ;Международный банковский институт;Негосударственный;Гуманитарные науки;www.ibispb.ru;г. Санкт-Петербург, ул. Малая Садовая, д. 6;+7 (812) 570-55-76;№1966 от 26.02.16 ;<ul><li>Победитель 1-го Всероссийского конкурса в области менеджмента качества</li><li>1991 - год основания</li><li> 3 факультета</li><li>7 кафедр</li></ul>;;;;Нет;Есть;;Есть;;;Нет;;;
0294;Северо-Западный ФО;г. Санкт-Петербург;СПбИИР;Санкт-Петербургский институт искусств и реставрации;Негосударственный;Культура и искусство;www.spbiir.ru;г. Санкт-Петербург, 8-я линия В.О., д. 83А;+7 (812) 339-44-73;№2711 от 31.01.18;<ul><li>3 выпускающих кафедры</li><li>3 направления подготовки с подпрофилями обучения</li><li>2011 - год основания</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0295;Северо-Западный ФО;г. Санкт-Петербург;СПбИЭУ;Санкт-Петербургский институт экономики и управления;Негосударственный;Гуманитарные науки;www.spbiem.ru;г. Санкт-Петербург, ул. Большая Пушкарская, д. 35;+7 (812) 237-17-56;№1503 от 19.06.15;<ul><li>3 кафедры</li><li>5 основных направлений подготовки</li><li>стадион</li></ul>;;;;Нет;Есть;;Есть;;;Нет;;;
0296;Северо-Западный ФО;г. Санкт-Петербург;СПбМСИ;Санкт-Петербургский медико-социальный институт;Негосударственный;Медицина и здравоохранение;www.medinstitut.org;г. Санкт-Петербург, просп. Кондратьевский, д. 72, лит. А;+7 (812) 974-23-24;№1696 от 14.10.15;<ul><li>Первый вуз в России, обучающий эрготерапии</li><li>2 факультета</li><li>Более 10 преподавателей - докторов наук </li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0297;Северо-Западный ФО;г. Санкт-Петербург;РХГА;Русская христианская гуманитарная академия;Негосударственный;Религиоведение;www.rhga.ru;г. Санкт-Петербург, наб. р. Фонтанки, д. 15;+7 (812) 334-14-41;№0992 от 07.05.14;<ul><li>20 направлений и специальностей</li><li>3 факультета</li><li>9 кафедр</li><li>1 собственное издательство</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0298;Северо-Западный ФО;г. Санкт-Петербург;СПб ИВЭСЭП;Санкт-Петербургский институт внешнеэкономических связей, экономики и права;Негосударственный;Гуманитарные науки;www.ivesep.spb.ru;г. Санкт-Петербург, Литейный просп., д. 42;+7 (812) 273-20-49;№1085 от 15.09.14;<ul><li>3 факультета</li><li>8 кафедр</li><li>10 филиалов</li><li>52-ое место в рейтинге вузов Санкт-Петербурга</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0299;Северо-Западный ФО;г. Санкт-Петербург;МИЭП при МПА ЕврАзЭС;Университет при Межпарламентской Ассамблее ЕврАзЭС;Негосударственный;Гуманитарные науки;www.miep.edu.ru;г. Санкт-Петербург, ул. Смолячкова, д. 14/1;+7 (812) 542-86-88;№2641 от 21.09.17;<ul><li>15 кафедр</li><li>6 факультетов и институтов</li><li>12 направлений подготовки</li> <li>научно-образовательный центр евразийской интеграции</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0300;Сибирский ФО;Новосибирская область;СНИ;Сибирский независимый институт;Негосударственный;Широкий профиль;www.isuni.ru;г. Новосибирск, ул. Северная, д. 23/1;+7 (383) 228-14-86;№1484 от 09.06.15;<ul><li>1992 - год основания</li><li>Институт выпустил более 3000 специалистов</li><li>46 бюджетных мест</li><li>3 факультета</li><li>5 кафедр</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0301;Сибирский ФО;Красноярский край;СИБУП;Сибирский институт бизнеса, управления и психологии;Негосударственный;Гуманитарные науки;www.sibup.ru;г. Красноярск, ул. Московская, д. 7А;+7 (391) 264-55-29;№0449 от 07.12.12;"<ul>_x000D_
<li>1 библиотека</li>_x000D_
<li>Лингафонный кабинет</li>_x000D_
<li>3 факультета</li>_x000D_
<li>Спортивный клуб</li>_x000D_
</ul>";;;;Нет;Есть;;Нет;;;Нет;;;
0302;Сибирский ФО;Новосибирская область;СИМОР;Сибирский институт международных отношений и регионоведения;Негосударственный;Гуманитарные науки;www.simor.ru;г. Новосибирск, ул. Ватутина, д. 17/1;+7 (383) 276-00-08;№2427 от 15.12.16;<ul><li>3 основных факультета</li><li>4 выпускающих кафедры</li><li>Издательство</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0303;Уральский ФО;Свердловская область;УИЭУиП;Уральский институт экономики, управления и права;Негосударственный;Гуманитарные науки;www.urep.ru;г. Екатеринбург, ул. Луначарского, д. 194;+7 (343) 261-59-58;№1038 от 25.06.14;"<ul>
<li>31 кафедра</li>
<li>7 специальностей</li>
<li>3 филиала</li>
<li>2 факультета</li>
</ul>";;;;Нет;Есть;;Нет;;;Нет;;;
0304;Уральский ФО;Свердловская область;УИФР;Уральский институт фондового рынка;Негосударственный;Гуманитарные науки;www.uifr.ru;г. Екатеринбург, Сибирский тракт, д. 35;+7 (343) 261-60-98;№2388 от 29.11.16;<ul><li>Более 25 лет подготовки студентов</li><li>2 направления подготовки</li><li>3 кафедры</li><li>Издательство</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0305;Уральский ФО;Челябинская область;ЧИЭП им.М.В.Ладошина;Челябинский институт экономики и права им. М.В. Ладошина;Негосударственный;Гуманитарные науки;www.chiep.ru;г. Челябинск, ул. Энергетиков, д. 63;+7 (351) 253-54-12;№1566 от 21.07.15;<ul><li>6 направлений подготовки</li><li>21 год истории преподавания</li><li>более 8 наград и сертификатов<li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0306;Центральный ФО;г. Москва;ИМЦ;Институт мировых цивилизаций;Негосударственный;Гуманитарные науки;www.imc-i.ru;г. Москва, 1-й Басманный пер., д. 3, стр. 1;+7 (800) 234-77-20;№1662 от 22.09.15;"<ul>
<li>3 факультета</li>
<li>14 кафедр</li><li>полит- и бизнес-инкубатор</li>
<li>основан в 1999 году</li>
</ul>";;;;нет;Есть;;Есть;;;нет;;;
0307;Центральный ФО;г. Москва;ИЭиК;Институт экономики и культуры;Негосударственный;Гуманитарные науки;www.ieac.ru;г. Москва, ул. Ибрагимова, д. 31, корп. 1;+7 (495) 795-00-10;№1317 от 12.03.15;<ul><li>1991 год основания</li><li>14 образовательных программ</li><li>20 000 выпускников</li><li>5 преподавателей-членов международного и Российского союза художников</li><li>6 докторов наук и 41 кандидатов в доктора наук среди преподавателей</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0308;Центральный ФО;г. Москва;МГТА;Московская гуманитарно-техническая академия;Негосударственный;Гуманитарные науки;www.mgta.ru;г. Москва, 2-й Котляковский пер., д. 1, стр. 98;+7 (495) 933-80-39;№1496 от 19.06.15;<ul><li>20 направлений подготовки</li><li>7 000 выпускников</li><li> более 20 лет успешной работы</li></ul>;;;;Нет;Есть;;Есть;;;Нет;;;
0309;Центральный ФО;г. Москва;МИСАО;Московский институт современного академического образования;Негосударственный;Широкий профиль;www.misaoinst.ru;г. Москва, ул. 7-я Текстильщиков, д. 14;+7 (495) 540-57-53;№1649 от 15.09.15;<ul><li>7 направлений подготовки</li><li>8 кафедр</li><li>3 филиала</li></ul>;;;;Нет;Нет;;Нет;;;Нет;;;
