id вуза;Федеральный округ;Регион;Аббревиатура;Название ВУЗа;Тип вуза;Направление вуза;Официальный сайт;Адрес;Телефон приемной комиссии;Сведения о лицензии;О вузе в цифрах;Форма обучения;Международные программы;Возможность получения двойного диплома;Наличие военной кафедры;Отсрочка от армии;Внеучебная деятельность;Общежитие;Стоимость общежития по бюджету (мес);Стоимость общежития по договору (мес);Государственная академическая стипендия (мес.);Стипендия за особые успехи в учебе;Стипендия по социальным льготам;Известные выпускники;Телефон;Ссылка на видео;VK;Instagram;YouTube;Средний бал по бюджету;Средний бал по договору;import_id (Для внутренних целей, менять не нужно)
1000100;Дальневосточный ФО;Республика Саха (Якутия);Высшая Школа Музыки РС(Я);Высшая школа музыки республики Саха (Якутия) (институт) имени В.А. Босикова;Негосударственный вуз;Государственный;vschoolmus.ru;677007, Респ Саха /Якутия/, г Якутск, ш Покровское 16 км, ДОМ 2;8(4112)316001;от 07.10.2016 №2428, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;4112316002;;;;;69.25;69.47;1103
1000101;Приволжский ФО;Республика Башкортостан;КИЭП;Кумертауский институт экономики и права;Негосударственный вуз;Негосударственный;kiep.ucoz.ru;"453300, Респ Башкортостан, г Кумертау, ул Карла Маркса, ДОМ 28""А""";8-(34761) 4-11-41;от 14.02.2017 №2535, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8-(34761) 4-03-52, 4-11-41, 4-17-58;;;;;;57.3;1109
1000102;Центральный ФО;Московская область;ГГТУ;Государственный гуманитарно-технологический университет;Негосударственный вуз;Государственный;ggtu.ru;142611, обл Московская, г Орехово-Зуево, ул Зеленая, 22, -;8(496) 425-78-88, 8(499) 955-25-20 (доб. 158);от 16.12.2015 №1825. Бессрочно;;;;;Нет;Есть;;Есть;800 — 800 ₽;800 — 800 ₽;;;;;4964257875;;ggtu_1940;university_orekhovo_zuevo;;70.44;59.34;1114
1000103;Центральный ФО;Рязанская область;РВВДКУ;Рязанское гвардейское высшее воздушно-десантное командное училище им. генерала армии В. Ф. Маргелова;Негосударственный вуз;Государственный;;390000, обл Рязанская, г Рязань, пл им. генерала армии В.Ф.Маргелова, ДОМ 1;(4912) 93-01-63;от 21.08.2018 №2772, бессрочная;;;;;Нет;;;;;;;;;;4912209487;;;;;;;1117
1000104;Центральный ФО;Костромская область;Военная академия РХБЗ;Военная академия радиационной, химической и биологической защиты имени Маршала Советского Союза С.К. Тимошенко (Кострома);Негосударственный вуз;Государственный;;156013, обл Костромская, г Кострома, ул Горького, 16;8 (4942) 39-97-39;от 14.03.2016 №1993, бессрочная;;;;;Нет;;;;;;;;;;4942372104;;;;;;;1124
1000105;Северо-Западный ФО;Калининградская область;КПИ ФСБ России;Калининградский пограничный институт;Негосударственный вуз;Государственный;;236000, обл Калининградская, г Калининград, ул Подполковника Емельянова, 244;(4012)-579751;от 19.02.2016 №1945, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1126
1000106;Северо-Западный ФО;г. Санкт-Петербург;Военно-морская академия;Военно-морская академия имени Адмирала Флота Советского Союза Н.Г. Кузнецова;Негосударственный вуз;Государственный;;197045, г Санкт-Петербург, наб Ушаковская, 17/1;;от 13.05.2016 №2132, бессрочная;;;;;Нет;;;;;;;;;;8 (812) 496-16-18;;;;;;;1137
1000107;Центральный ФО;Смоленская область;Военная академия войсковой противовоздушной обороны вооруженных сил российской федерации имени Маршала Советского Союза А.М.Василевского;Военная академия войсковой противовоздушной обороны вооруженных сил РФ имени Маршала Советского Союза А.М.Василевского;Негосударственный вуз;Государственный;;214027, обл Смоленская, г Смоленск, ул Котовского, 2;;от 29.03.2016 №2039, бессрочная;;;;;Нет;;;;;;;;;;4812273083;;;;;;;1138
1000108;Южный ФО;г. Севастополь;ЧВВМУ;Черноморское высшее военно-морское училище имени П.С. Нахимова (Севастополь);Негосударственный вуз;Государственный;chvvmu.mil.ru;299028, г Севастополь, ул Павла Дыбенко, ДОМ 1, КОРПУС А;+ 7(8692) 53-41-09;от 02.02.2015 №1261, бессрочная;;;;;Нет;;;Есть;;;;;;;0692231461;;;;;;;1145
1000109;Центральный ФО;г. Москва;Пограничная академия;Пограничная академия;Негосударственный вуз;Государственный;;125040, г Москва, пр-кт Ленинградский, 3/5;;от 28.03.2016 №2028, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1149
1000110;Центральный ФО;Орловская область;ОрЮИ МВД России;Орловский юридический институт;Негосударственный вуз;Государственный;орюи.мвд.рф;302027, обл Орловская, г Орёл, ул Игнатова, 2;(4862) 41-44-54;от 06.08.2015 №1585, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;84862414427;;;;;;;1155
1000111;Уральский ФО;Свердловская область;Институт ФСБ ( Екатеринбург);Институт федеральной службы безопасности Российской Федерации (Екатеринбург);Негосударственный вуз;Государственный;;620082, обл Свердловская, г Екатеринбург, км Сибирский тракт 11;;от 04.07.2016 №2249, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1166
1000112;Приволжский ФО;Республика Татарстан;КЮИ МВД России;Казанский юридический институт;Негосударственный вуз;Государственный;;420108, Респ Татарстан, г Казань, ул Магистральная, ДОМ 35;;от 14.09.2015 №1650, бессрочная;;;;;Нет;;;;;;;;;;88432778077;;;;;;;1169
1000113;Уральский ФО;Челябинская область;МАГК имени М.И. Глинки;Магнитогорская государственная консерватория (академия) имени М.И. Глинки;Негосударственный вуз;Государственный;magkmusic.com;455036, обл Челябинская, г Магнитогорск, ул Грязнова, 22;(3519) 42-30-09, (3519) 21-72-72;от 13.04.2016 №2072, бессрочная;;;;;Нет;Есть;;Есть;400 — 3000 ₽;400 — 3000 ₽;;;;;3519423001;;https://vk.com/magk_glinka;https://www.instagram.com/74magk/;;65.3;66.32;1171
1000114;Центральный ФО;г. Москва;ВИАМ;Всероссийский научно-исследовательский институт авиационных материалов;Негосударственный вуз;Государственный;viam.ru;105005, г Москва, ул Радио, 17;+7(499)263-86-62, +7(499)263-87-34;от 10.07.2013 №0782, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;4992618677;;;;;;;1173
1000115;Центральный ФО;Московская область;ГПИ ФСБ России;Голицынский пограничный институт ФСБ России;Негосударственный вуз;Государственный;;143040, обл Московская, р-н Одинцовский, г Голицыно, ш Можайское, ДОМ 75;;от 17.08.2015 №1598, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1188
1000116;Северо-Западный ФО;г. Санкт-Петербург;ВИФК;Военный институт физической культуры;Негосударственный вуз;Государственный;www.vifk.mil.ru;194044, г Санкт-Петербург, пр-кт Большой Сампсониевский, ДОМ 63;8 (812) 292-31-81;от 22.07.2016 №2289, бессрочная;;;;;Нет;;;Есть;;;;;;;8122923115;;;;;;;1193
1000117;Центральный ФО;Рязанская область;Академия права и управления;Академия права и управления;Негосударственный вуз;Государственный;апу.фсин.рф;390000, обл Рязанская, г Рязань, ул Сенная, ДОМ 1;4912938254;от 21.04.2016 №2101, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;4912272112;;https://vk.com/club143413647;;;;;1197
1000118;Сибирский ФО;Новосибирская область;НВВКУ;Новосибирское высшее военное командное училище (Новосибирск);Негосударственный вуз;Государственный;;630117, обл Новосибирская, г Новосибирск, ул Иванова, ДОМ 49;;от 12.09.2016 №2378, бессрочная;;;;;Нет;;;;;;;;;;3833320252;;;;;;;1203
1000119;Центральный ФО;г. Москва;Европейский институт ЮСТО;Европейский институт ЮСТО (справедливость);Негосударственный вуз;Негосударственный;;125130, г Москва, пер Новоподмосковный 6-й, 6;;от 13.06.2018 №2751, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1204
1000120;Южный ФО;Волгоградская область;ВГИИК;Волгоградский государственный институт искусств и культуры;Негосударственный вуз;Государственный;ВГИИК.РФ;400001, обл Волгоградская, г Волгоград, ул им Циолковского, 4;8(917)8390329;от 28.06.2016 №2230, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8442971537;https://youtu.be/wwIUmECI4Io;https://vk.com/vgiik34;;https://www.youtube.com/channel/UCdWTqpzgD6uHbBeFbij5IlQ/videos;65.97;57.4;1211
1000121;Приволжский ФО;Самарская область;ППИ имени Святителя Алексия;Поволжский православный институт имени Святителя Алексия, митрополита Московского;Негосударственный вуз;Негосударственный;http://pravinst.ru;445028, обл Самарская, г Тольятти, ул Революционная, ДОМ 74;(8482) 62-41-20;от 14.07.2014 №1054, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;(8482) 35-10-13;https://www.youtube.com/watch?v=08nhNBgfUPQ;vk.com/pravinst;https://www.instagram.com/pravinst163/?hl=ru инста;;64.3;75.08;1225
1000122;Центральный ФО;г. Москва;Институт деловой карьеры;Институт деловой карьеры;Негосударственный вуз;Негосударственный;;111024, г Москва, ул Авиамоторная, ДОМ 50, СТРОЕНИЕ 2;;от 21.06.2018 №2752, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;55.48;1229
1000123;Уральский ФО;Тюменская область;ТВВИКУ;Тюменское высшее военно-инженерное командное училище имени Маршала Инженерных Войск А.И.Прошлякова;Негосударственный вуз;Государственный;;625001, обл Тюменская, г Тюмень, ул Льва Толстого, 1;;от 19.01.2016 №1882, бессрочная;;;;;Нет;;;;;;;;;;3452420541;;;;;;;1230
1000124;Центральный ФО;Белгородская область;Бел ЮИ МВД России;Белгородский юридический институт Министерствавнутренних дел Российской Федерации имени И.Д. Путилина;Негосударственный вуз;Государственный;https://белюи.мвд.рф;308024, обл Белгородская, г Белгород, ул Горького, 71;(4722) 52-32-64;от 04.08.2015 №1579, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;84722557113;;;;;;;1261
1000125;Центральный ФО;г. Москва;Институт мировой экономики и информатизации;Институт мировой экономики и информатизации;Негосударственный вуз;Негосударственный;;109390, г Москва, ул Артюхиной, ДОМ 6, КОРПУС 1;;от 23.05.2017 №038424, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1273
1000126;Южный ФО;Краснодарский край;КВВАУЛ;Краснодарское высшее военное авиационное училище летчиков имени Героя Советского Союза А.К.Серова;Негосударственный вуз;Государственный;;350090, край Краснодарский, г Краснодар, ул им Дзержинского, ДОМ 135;;от 04.04.2016 №2059, бессрочная;;;;;Нет;;;;;;;;;;8612240054;;;;;;;1274
1000127;Северо-Западный ФО;Вологодская область;ЧВВИУРЭ;Череповецкое высшее военное инженерное училище радиоэлектроники;Негосударственный вуз;Государственный;;162622, обл Вологодская, г Череповец, пр-кт Советский, 126;;от 17.07.2015 №1560, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1292
1000128;Северо-Западный ФО;г. Санкт-Петербург;Институт ФСБ ( Санкт-Петербург);Институт федеральной службы безопасности Российской Федерации (Санкт-Петербург);Негосударственный вуз;Государственный;;195248, г Санкт-Петербург, пр-кт Энергетиков, 27;;от 08.02.2016 №1922, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1296
1000129;Центральный ФО;г. Москва;Общевойсковая академия ВС РФ;"Военный учебно-научный центр сухопутных войск ""Общевойсковая академия вооруженных сил Российской Федерации""";Негосударственный вуз;Государственный;;119992, г Москва, проезд Девичьего Поля, ДОМ 4;;от 19.10.2017 №2663, бессрочная;;;;;Нет;;;;;;;;;;4997665759;;;;;;;1297
1000130;Уральский ФО;Ханты-Мансийский автономный округ;СурГУ;Сургутский государственный университет;Негосударственный вуз;Государственный;www.surgu.ru;628412, АО Ханты-Мансийский Автономный округ - Югра, г Сургут, пр-кт Ленина, 1;(3462) 762-914;от 20.03.2019 №2812, бессрочная;;;;;Нет;Есть;;Есть;1000 — 1935 ₽;1000 — 1935 ₽;;;;;34667217373;https://www.youtube.com/watch?v=F4QlUmzO6Ws;https://vk.com/surgu;https://www.instagram.com/surgu/;https://www.youtube.com/user/SurgutUniversity;64.93;54.46;1303
1000132;Центральный ФО;г. Москва;Академия Генерального штаба;Военная академия генерального штаба вооруженных сил Российской Федерации;Негосударственный вуз;Государственный;;119571, г Москва, пр-кт Вернадского, ДОМ 100;;от 01.07.2015 №1533, бессрочная;;;;;Нет;;;;;;;;;;4997399153;;;;;;;1313
1000133;Северо-Кавказский ФО;Ставропольский край;ЕИУБП;Ессентукский институт управления, бизнеса и права;Негосударственный вуз;Негосударственный;;357600, край Ставропольский, г Ессентуки, ул Ермолова, 2;8(87934)6-62-29;от 06.07.2015 №1541, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;;;;;;;56.68;1314
1000134;Уральский ФО;Челябинская область;МИДиС;Международный Институт Дизайна и Сервиса;Негосударственный вуз;Негосударственный;https://midis.info;454014, обл Челябинская, г Челябинск, ул Ворошилова, 12;8(351)216-10-10;от 15.05.2018 №2740, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;8(351)216-10-30;https://www.youtube.com/watch?v=LYZfJxil4mY&t=9s;https://vk.com/my_midis;http://www.instagram.com/midis_74;https://www.youtube.com/channel/UCue9uJhzkuO6qbvDuLOjfxA;;59.42;1322
1000135;Северо-Западный ФО;г. Санкт-Петербург;БАТиП;Балтийская академия туризма и предпринимательства;Негосударственный вуз;Негосударственный;;197110, г Санкт-Петербург, ул Петрозаводская, 13, ЛИТЕР А;;от 28.03.2016 №2035, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;58.81;1334
1000136;Центральный ФО;Владимирская область;ВЮИ ФСИН России;Владимирский юридический институт;Негосударственный вуз;Государственный;www.vui.fsin.su;600020, обл Владимирская, г Владимир, ул Большая Нижегородская, 67Е;(4922) 40-45-47, (4922) 45-44-18;от 25.03.2016 №2026, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;4922474520;;;;;59;57;1335
1000137;Северо-Кавказский ФО;Ставропольский край;ИнЭУ в Пятигорске;Институт экономики и управления (Пятигорск);Негосударственный вуз;Негосударственный;;357500, край Ставропольский, г Пятигорск, ул Московская, 51;;от 30.12.2015 №1855, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1341
1000138;Приволжский ФО;Пермский край;ПВИ ВНГ РФ;Пермский военный институт войск национальной гвардии Российской Федерации;Негосударственный вуз;Государственный;ПВИВВ.РФ;614112, край Пермский, г Пермь, ул Гремячий лог, ДОМ 1;;от 30.11.2016 №2487, бессрочная;;;;;Нет;;;;;;;;;;34227039023;;;;;;;1344
1000139;Центральный ФО;Орловская область;Академия ФСО России;Академия федеральной службы охраны Российской Федерации;Негосударственный вуз;Государственный;fso.gov.ru;302015, обл Орловская, г Орёл, ул Приборостроительная, ДОМ 35;;от 24.02.2016 №1959, бессрочная;;;;;Нет;;;;;;;;;;4862549586;;;;;;;1345
1000140;Центральный ФО;г. Москва;ОЦАД;Общецерковная аспирантура и докторантура им. святых равноапостольных Кирилла и Мефодия;Негосударственный вуз;Негосударственный;www.doctorantura.ru;115035, г Москва, ул Пятницкая, дом 4/2, строение 1;+7 (495) 721-80-32;от 08.02.2017 №2533, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;+7 (495) 721-80-23;;;;;;;1346
1000141;Северо-Западный ФО;Калининградская область;КИУ;Калининградский институт управления;Негосударственный вуз;Негосударственный;https://kvshu39.ru;236016, обл Калининградская, г Калининград, ул Литовский Вал, 38, ЛИТЕР А1;8-4012-46-94-23, 8-4012-55-73-82;от 10.11.2015 №1748, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;(4012) 55-73-81;;;;https://www.youtube.com/channel/UCBjy7jqWd6ICQNXKA5vFL9Q;;51.87;1347
1000142;Центральный ФО;г. Москва;МПИ;Московский пограничный институт;Негосударственный вуз;Государственный;;129345, г Москва, ул Осташковская, ДОМ 15;;от 30.12.2015 №1872, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1348
1000143;Центральный ФО;Московская область;ВА РВСН;Военная академия ракетных войск стратегического назначения имени Петра Великого;Негосударственный вуз;Государственный;varvsn.mil.ru;143900, обл Московская, г Балашиха, ул Карбышева, ДОМ 8;8(495)524-07-39, 8(495)524-02-70, доб. 23-21;от 18.11.2015 №1768, бессрочная;;;;;Есть;Нет;;Есть;;;;;;;8(495)524-07-39, доб. 23-21;;https://vk.com/funrvsn;;;60.7;;1357
1000144;Центральный ФО;Воронежская область;ВЭПИ;Воронежский экономико-правовой институт;Негосударственный вуз;Негосударственный;www.vepi.ru;394033, обл Воронежская, г Воронеж, Ленинский пр-т, 119 A;(473)202-00-20;от 31.01.2019 №2802, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;;https://youtu.be/OHCi_UHbzqk;https://vk.com/clubvepi;https://www.instagram.com/vepi36/;https://www.youtube.com/channel/UCycFsxN8enevfI9oDX-zBjA;;62.58;1360
1000145;Центральный ФО;Воронежская область;ВВА;Военно-воздушная академия имени профессора Н.Е. Жуковского и Ю.А. Гагарина;Негосударственный вуз;Государственный;vaiu.ru;394064, обл Воронежская, г Воронеж, ул Старых Большевиков, 54А;;от 12.11.2015 №1765, бессрочная;;;;;Нет;;;;;;;;;;4732447613;;;;;;;1368
1000146;Северо-Западный ФО;г. Санкт-Петербург;ВАМТО;Военная академия материально-технического обеспечения имени генерала армии А.В. Хрулева;Негосударственный вуз;Государственный;http://vamto.mil.ru/;199034, г Санкт-Петербург, наб Макарова, 8;(812) 328-93-33, (812) 328-88-72;от 16.12.2015 №1824, бессрочная;;;;;Есть;Есть;;Есть;;;;;;;(812) 328-54-92;https://www.youtube.com/watch?v=7ljxK105JdU&t=1s;https://vk.com/club51892024;https://www.instagram.com/vamto_official/;https://www.youtube.com/channel/UCEk89aILBO51eaVjGEXNpog;170;0;1370
1000147;Приволжский ФО;Саратовская область;СВИ ВНГ РФ;Саратовский военный ордена Жукова Краснознаменный институт войск национальной гвардии Российской Федерации;Негосударственный вуз;Государственный;svivv.ru;410023, обл Саратовская, г Саратов, ул Московская, 158;;от 27.09.2017 №2647, бессрочная;;;;;Нет;;;;;;;;;;8452504509;;;;;;;1371
1000148;Уральский ФО;Свердловская область;УрУ-УИЭУиП;Уральский университет-Уральский институт экономики, управления и права;Негосударственный вуз;Негосударственный;;;;от 19.03.2018 №2726, бессрочная;;;;;;;;;;;;;;;;;;;;;;1383
1000149;Уральский ФО;Свердловская область;Нижнетагильский филиал МЮИ;"Нижнетагильский филиал образовательного ОЧУ ВО ""Международный юридический институт""";Негосударственный вуз;Негосударственный;http://lawacademy.ru/ntagil/;622049, обл Свердловская, г Нижний Тагил, ш Черноисточинское, ДОМ 70;8-3435-230-100;от 06.04.2015 №1369, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;+7(3435) 230-100;;;;;;49.8;1418
1000150;Южный ФО;г. Севастополь;ИЭП - филиал АТиСО в Севастополе;"Институт экономики и права (филиал) образовательного учреждения профсоюзов высшего образования ""Академия труда и социальных отношений"" в Севастополе";Негосударственный вуз;Негосударственный;;299011, г Севастополь, ул Балаклавская, ДОМ 11;;от 14.01.2016 №1885, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;60.19;1435
1000151;Приволжский ФО;Республика Башкортостан;Филиал СамГТУ в Белебее;"Филиал ""СамГТУ"" в Белебее Республики Башкортостан";Негосударственный вуз;Государственный;http://bf.samgtu.ru;443100, г. Самара, ул. Молодогвардейская, 244,  Главный корпус;+7 (34786) 5-07-15;от 01.11.2016 №2447, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;+7 (34786) 5-15-52;;https://vk.com/bf_samgtu;https://www.instagram.com/bfsamgtu;;;;1449
1000152;Дальневосточный ФО;Приморский край;ДВПСА;Дальневосточная пожарно-спасательная академия - филиал Санкт-Петербургского университета государственной противопожарной службы;Негосударственный вуз;Государственный;https://dv.igps.ru;690922, край Приморский, г Владивосток, остров Русский, п Аякс, ДОМ 27;+7(423)246-94-26;от 25.11.2015 №1784, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;+7(423)246-94-26;;;;;57;57;1475
1000153;Южный ФО;Республика Крым;КФ КрУ МВД России;"Крымский филиал ""Краснодарский университет Министерства внутренних дел Российской Федерации"" (Симферополь)";Негосударственный вуз;Государственный;https://кф.крду.мвд.рф;295053, Респ Крым, г Симферополь, ул Академика Х.Х.Стевена, ДОМ 14;8(3652)667120;от 20.08.2015 №1609. Бессрочно;;;;;Нет;Есть;;Есть;;;;;;;83652667120;;https://vk.com/kf_mvd;http://instagram.com/kfkru_mvd;;62.2;;1476
1000154;Центральный ФО;Липецкая область;ЛИК (филиал) БУКЭП;"Липецкий институт кооперации (филиал) АНО ВО ""Белгородский университет кооперации, экономики и права""";Негосударственный вуз;Негосударственный;http://lki-lipetsk.ru/;398002, обл Липецкая, г Липецк, ул Зегеля, 25 А;8(4742)27-46-85, 8(4742)72-42-81, 8(4742)72-40-84;от 24.08.2015 №1617, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;8(4742)72-42-81, 8(4742)72-40-84;https://www.youtube.com/embed/sYAAdoTYtIU;;;;;49.55;1485
1000155;Приволжский ФО;Самарская область;Филиал ВВА в Сызрани;"Филиал ""Военный учебно-научный центр военно-воздушных сил ""Военно-воздушная академия имени профессора Н.Е. Жуковского и Ю.А. Гагарина"" в Сызрани";Негосударственный вуз;Государственный;www.svvaul.ru;446007, обл Самарская, г Сызрань, ул Маршала Жукова, ДОМ 1;(8464) 37-38-10 добавочный 3-28;от 12.11.2015 №1765, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8464373810;;;;;53.33;0;1487
1000156;Уральский ФО;Челябинская область;Филиал ВВА в Челябинске;"Филиал ""Военный учебно-научный центр военно-воздушных сил ""Военно-воздушная академия имени профессора Н.Е. Жуковского и Ю.А. Гагарина"" в Челябинске";Негосударственный вуз;Государственный;;454015, обл Челябинская, г Челябинск, городок 11-й, ДОМ 1;(351)724-03-00;от 12.11.2015 №1765, бессрочная;;;;;Нет;Есть;;;;;;;;;3517240300;;;;;;;1488
1000157;Центральный ФО;Московская область;Филиал Военная академия РВСН в Серпухове;"Филиал ""Военная академия ракетных войск стратегического назначения имени Петра Великого"" Министерства обороны Российской Федерации в Серпухове";Негосударственный вуз;Государственный;;142202, обл Московская, г Серпухов, ул Бригадная, 17;;от 18.11.2015 №1768, бессрочная;;;;;Нет;;;;;;;;;;4967721911;;;;;;;1528
1000158;Центральный ФО;Рязанская область;Рязанский филиал МУ МВД России;"Рязанский филиал ""Московский университет Министерства внутренних дел Российской Федерации имени В.Я. Кикотя""";Негосударственный вуз;Государственный;рф.мосу.мвд.рф;390043, обл Рязанская, г Рязань, ул 1-я Красная, ДОМ 18;8-4912-77-87-49;от 07.09.2015 №1633, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8-4912-38-28-45;;;;;;;1535
1000159;Северо-Западный ФО;Калининградская область;Калининградский филиал СПбУ МВД РФ ;"Калининградский филиал ""Санкт-Петербургский университет Министерства внутренних дел Российской Федерации""";Негосударственный вуз;Государственный;https://klif.univer.mvd.ru;236006, обл Калининградская, г Калининград, ул Генерала Галицкого, 30;84012460981;от 29.10.2015 №1734, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;4012461882;;;;;84;;1545
1000160;Северо-Западный ФО;Калининградская область;Филиал Военной-морской академии в Калининграде;"Филиал""Военный учебно-научный центр военно-морского флота ""Военно-морская академия имени Адмирала Флота Советского Союза Н. Кузнецова"" в Калининграде";Негосударственный вуз;Государственный;;236036, обл Калининградская, г Калининград, пр-кт Советский, 82;;от 13.05.2016 №2132, бессрочная;;;;;Нет;;;;;;;;;;4012935541;;;;;;;1546
1000161;Южный ФО;Республика Крым;Керченский филиал КИПУ;"Керченский филиал ГБОУ ВО республики Крым ""Крымский инженерно-педагогический университет""";Негосударственный вуз;Государственный;;298306, Респ Крым, г Керчь, ул Пятилетки 1-й, ДОМ 58/5;(3652)24-94-44;от 27.05.2015 №1450, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1557
1000162;Северо-Кавказский ФО;Чеченская республика;Гудермесский филиал ИФиП;"Гудермесский филиал учреждения ВО ""Институт финансов и права""";Негосударственный вуз;Негосударственный;;366200, Респ Чеченская, р-н Гудермесский, г Гудермес, ул Пушкина, ДОМ 10;;от 01.06.2015 №1456, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;77.97;1567
1000163;Приволжский ФО;Саратовская область;ВВИМО;"Филиал ""Военная академия материально-технического обеспечения имени Генерала Армии А.В. Хрулева"" Министерства обороны Российской Федерации в Вольске";Негосударственный вуз;Государственный;http://volsk.vamto.mil.ru/;412903, обл Саратовская, г Вольск, ул М.Горького, ДОМ 3;(845) 93-7-02-02;от 16.12.2015 №1824, бессрочная;;;;;Есть;Есть;;Есть;;;;;;;8459371113;;;;;50;;1568
1000164;Сибирский ФО;Омская область;ОАБИИ;"Филиал ""Военная академия материально-технического обеспечения имени Генерала Армии А.В. Хрулева"" Министерства обороны Российской Федерации в Омске.";Негосударственный вуз;Государственный;http://vamto.mil.ru/;644098, обл Омская, г Омск, городок Военный 14-й;(3812) 44-98-57;от 16.12.2015 №1824, бессрочная;;;;;Есть;Есть;;Есть;;;;;;;3812449796;;;;;50;0;1569
1000165;Центральный ФО;г. Москва;ИЦЧП им.Алексеева;Исследовательский центр частного права имени С.С. Алексеева при Президенте Российской Федерации;Негосударственный вуз;Государственный;privlaw.ru;103132, г Москва, ул Ильинка, ДОМ 8, СТРОЕНИЕ 2;;от 20.08.2015 №1603, бессрочная;;;;;;;;;;;;;;;49560636394;;;;;;;4296
1000166;Сибирский ФО;Новосибирская область;СибУПК;Сибирский университет потребительской кооперации (СибУПК);Негосударственный вуз;Негосударственный;www.sibupk.su;630087 г. Новосибирск, пр. К.Маркса, 26;8(383) 346-58-52;от 03.12.2018 №2790, бессрочная;;;;;Нет;Есть;;Есть;2300 — 3800 ₽;2300 — 3800 ₽;;;;;+7(383)314-00-39;;https://vk.com/sibupk;https://www.instagram.com/sibupk1956/;https://www.youtube.com/channel/UCUoYqqOH5Rpa126uF9dkQlA;0;50.58;4302
1000167;Приволжский ФО;Самарская область;Самарский филиал РАНХиГС;"Самарский филиал ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""";Негосударственный вуз;Негосударственный;sam.ranepa.ru;443056, г. Самара, просп. Масленникова, д. 37;;90П01 №0042709;;;;;Нет;Нет;;Нет;;;;;;;+7(846)205-97-05;;;;;;;4320
1000168;Приволжский ФО;Саратовская область;Филиал СамГУПС в Саратове;"Филиал ""Самарский государственный университет путей сообщения"" в Саратове";Негосударственный вуз;Государственный;www.samgups.ru;410004, обл Саратовская, г Саратов, проезд Интернациональный, 1А;8 (8482) 41-97-49;2342;;;;;Нет;Есть;;Есть;1300 — 2100 ₽;1300 — 2100 ₽;;;;;8 (8452) 41-97-49;;;;;;;4324
1000169;Северо-Кавказский ФО;Республика Дагестан;Дербентский филиал МПГУ;"Дербентский филиал ""Московский педагогический государственный университет""";Негосударственный вуз;Государственный;http://mpgu.su/ob-mpgu/struktura/filialyi/derbentskiy-filial/;368600, Республика Дагестан, г.Дербент, ул.Буйнакского, д.18;8 (87240) 4-05-50;от 11.12.2015 №1818, бессрочная;;;;;Нет;Есть;;;;;;;;;(87240) 4-05-50;;;;;;;4328
1000170;Южный ФО;Волгоградская область;Волгоградский филиал МГГЭУ;"Волгоградский филиал ФГБОУИ ВО ""Московский государственный гуманитарно-экономический университет""";Негосударственный вуз;Государственный;v-filial@mail.ru;400040, обл Волгоградская, г. Волгоград, ул им. Поддубного, д.15;+7(8442) 73-05-41;Лицензия Серия 90Л01 № 0008126 Регист. № 1147 от 24.11.2014г.;;;;;Нет;Есть;;Есть;547 — 1073 ₽;547 — 1073 ₽;;;;;+7(8442) 73-05-41;https://www.youtube.com/watch?v=pbc1O9pDOJc;;;;4.22;3.8;4329
