Название;Тип списка;Регион (id);Ссылка текущая;Описание;Заголовок вкладки (title);Мета-описание (description);URL (латинницей)
Вузы Казахстана;По фильтру;142;https://propostuplenie.ru/university/?Region[]=142;Список вузов Казахстана, в которые можно поступить в 2019 году;Список вузов Казахстана, в которые можно поступить в 2019 году;Список вузов Казахстана, в которые можно поступить в 2019 году;vuzy-kazahstana
Вызу Калининградской области;По фильтру;50;https://propostuplenie.ru/university/?Region[]=50;Список вузов Калининградской области, в которые можно поступить в 2019 году;Список вузов Калининградской области, в которые можно поступить в 2019 году;Список вузов Калининградской области, в которые можно поступить в 2019 году;vyzu-kaliningradskoj-oblasti
Вузы Калужской области;По фильтру;59;https://propostuplenie.ru/university/?Region[]=59;Список вузов Калужской области, в которые можно поступить в 2019 году;Список вузов Калужской области, в которые можно поступить в 2019 году;Список вузов Калужской области, в которые можно поступить в 2019 году;vuzy-kaluzhskoj-oblasti
Вузы Камчатского края;По фильтру;42;https://propostuplenie.ru/university/?Region[]=42;Список вузов Камчатского края, в которые можно поступить в 2019 году;Список вузов Камчатского края, в которые можно поступить в 2019 году;Список вузов Камчатского края, в которые можно поступить в 2019 году;vuzy-kamchatskogo-kraya
Вузы Карачаево-Черкесской республики;По фильтру;14;https://propostuplenie.ru/university/?Region[]=14;Список вузов Карачаево-Черкесской республики, в которые можно поступить в 2019 году;Список вузов Карачаево-Черкесской республики, в которые можно поступить в 2019 году;Список вузов Карачаево-Черкесской республики, в которые можно поступить в 2019 году;vuzy-karachaevo-cherkesskoj-respubliki
Вузы Кемеровской области;По фильтру;5;https://propostuplenie.ru/university/?Region[]=5;Список вузов Кемеровской области, в которые можно поступить в 2019 году;Список вузов Кемеровской области, в которые можно поступить в 2019 году;Список вузов Кемеровской области, в которые можно поступить в 2019 году;vuzy-kemerovskoj-oblasti
Вузы Кировской области;По фильтру;66;https://propostuplenie.ru/university/?Region[]=66;Список вузов Кировской области, в которые можно поступить в 2019 году;Список вузов Кировской области, в которые можно поступить в 2019 году;Список вузов Кировской области, в которые можно поступить в 2019 году;vuzy-kirovskoj-oblasti
Вузы Костромской области;По фильтру;81;https://propostuplenie.ru/university/?Region[]=81;Список вузов Костромской области, в которые можно поступить в 2019 году;Список вузов Костромской области, в которые можно поступить в 2019 году;Список вузов Костромской области, в которые можно поступить в 2019 году;vuzy-kostromskoj-oblasti
Вузы Краснодарского края;По фильтру;19;https://propostuplenie.ru/university/?Region[]=19;Список вузов Краснодарского края, в которые можно поступить в 2019 году;Список вузов Краснодарского края, в которые можно поступить в 2019 году;Список вузов Краснодарского края, в которые можно поступить в 2019 году;vuzy-krasnodarskogo-kraya
Вузы Красноярского края;По фильтру;36;https://propostuplenie.ru/university/?Region[]=36;Список вузов Красноярского края, в которые можно поступить в 2019 году;Список вузов Красноярского края, в которые можно поступить в 2019 году;Список вузов Красноярского края, в которые можно поступить в 2019 году;vuzy-krasnoyarskogo-kraya
Вузы Курганской области;По фильтру;75;https://propostuplenie.ru/university/?Region[]=75;Список вузов Курганской области, в которые можно поступить в 2019 году;Список вузов Курганской области, в которые можно поступить в 2019 году;Список вузов Курганской области, в которые можно поступить в 2019 году;vuzy-kurganskoj-oblasti
Вузы Курской области;По фильтру;47;https://propostuplenie.ru/university/?Region[]=47;Список вузов Курской области, в которые можно поступить в 2019 году;Список вузов Курской области, в которые можно поступить в 2019 году;Список вузов Курской области, в которые можно поступить в 2019 году;vuzy-kurskoj-oblasti
Вузы Ленинградской области;По фильтру;38;https://propostuplenie.ru/university/?Region[]=38;Список вузов Ленинградской области, в которые можно поступить в 2019 году;Список вузов Ленинградской области, в которые можно поступить в 2019 году;Список вузов Ленинградской области, в которые можно поступить в 2019 году;vuzy-leningradskoj-oblasti
Вузы Липецкой области;По фильтру;52;https://propostuplenie.ru/university/?Region[]=52;Список вузов Липецкой области, в которые можно поступить в 2019 году;Список вузов Липецкой области, в которые можно поступить в 2019 году;Список вузов Липецкой области, в которые можно поступить в 2019 году;vuzy-lipeckoj-oblasti
Вузы Магаданской области;По фильтру;77;https://propostuplenie.ru/university/?Region[]=77;Список вузов Магаданской области, в которые можно поступить в 2019 году;Список вузов Магаданской области, в которые можно поступить в 2019 году;Список вузов Магаданской области, в которые можно поступить в 2019 году;vuzy-magadanskoj-oblasti
Вузы Московской области;По фильтру;48;https://propostuplenie.ru/university/?Region[]=48;Список вузов Московской области, в которые можно поступить в 2019 году;Список вузов Московской области, в которые можно поступить в 2019 году;Список вузов Московской области, в которые можно поступить в 2019 году;vuzy-moskovskoj-oblasti
Вузы Мурманской области;По фильтру;54;https://propostuplenie.ru/university/?Region[]=54;Список вузов Мурманской области, в которые можно поступить в 2019 году;Список вузов Мурманской области, в которые можно поступить в 2019 году;Список вузов Мурманской области, в которые можно поступить в 2019 году;vuzy-murmanskoj-oblasti
Вузы Нижегородской области;По фильтру;61;https://propostuplenie.ru/university/?Region[]=61;Список вузов Нижегородской области, в которые можно поступить в 2019 году;Список вузов Нижегородской области, в которые можно поступить в 2019 году;Список вузов Нижегородской области, в которые можно поступить в 2019 году;vuzy-nizhegorodskoj-oblasti
Вузы Новгородской области;По фильтру;78;https://propostuplenie.ru/university/?Region[]=78;Список вузов Новгородской области, в которые можно поступить в 2019 году;Список вузов Новгородской области, в которые можно поступить в 2019 году;Список вузов Новгородской области, в которые можно поступить в 2019 году;vuzy-novgorodskoj-oblasti
Вузы Новосибирской области;По фильтру;40;https://propostuplenie.ru/university/?Region[]=40;Список вузов Новосибирской области, в которые можно поступить в 2019 году;Список вузов Новосибирской области, в которые можно поступить в 2019 году;Список вузов Новосибирской области, в которые можно поступить в 2019 году;vuzy-novosibirskoj-oblasti
Вузы ОАЭ;По фильтру;135;https://propostuplenie.ru/university/?Region[]=135;Список вузов ОАЭ, в которые можно поступить в 2019 году;Список вузов ОАЭ, в которые можно поступить в 2019 году;Список вузов ОАЭ, в которые можно поступить в 2019 году;vuzy-oaeh
Вузы Омской области;По фильтру;9;https://propostuplenie.ru/university/?Region[]=9;Список вузов Омской области, в которые можно поступить в 2019 году;Список вузов Омской области, в которые можно поступить в 2019 году;Список вузов Омской области, в которые можно поступить в 2019 году;vuzy-omskoj-oblasti
Вузы Оренбургской области;По фильтру;56;https://propostuplenie.ru/university/?Region[]=56;Список вузов Оренбургской области, в которые можно поступить в 2019 году;Список вузов Оренбургской области, в которые можно поступить в 2019 году;Список вузов Оренбургской области, в которые можно поступить в 2019 году;vuzy-orenburgskoj-oblasti
Вузы Орловской области;По фильтру;63;https://propostuplenie.ru/university/?Region[]=63;Список вузов Орловской области, в которые можно поступить в 2019 году;Список вузов Орловской области, в которые можно поступить в 2019 году;Список вузов Орловской области, в которые можно поступить в 2019 году;vuzy-orlovskoj-oblasti
Вузы Пензенской области;По фильтру;28;https://propostuplenie.ru/university/?Region[]=28;Список вузов Пензенской области, в которые можно поступить в 2019 году;Список вузов Пензенской области, в которые можно поступить в 2019 году;Список вузов Пензенской области, в которые можно поступить в 2019 году;vuzy-penzenskoj-oblasti
Вузы Пермского края;По фильтру;43;https://propostuplenie.ru/university/?Region[]=43;Список вузов Пермского края, в которые можно поступить в 2019 году;Список вузов Пермского края, в которые можно поступить в 2019 году;Список вузов Пермского края, в которые можно поступить в 2019 году;vuzy-permskogo-kraya
Вузы Приморского края;По фильтру;25;https://propostuplenie.ru/university/?Region[]=25;Список вузов Приморского края, в которые можно поступить в 2019 году;Список вузов Приморского края, в которые можно поступить в 2019 году;Список вузов Приморского края, в которые можно поступить в 2019 году;vuzy-primorskogo-kraya
Вузы Псковской области;По фильтру;30;https://propostuplenie.ru/university/?Region[]=30;Список вузов Псковской области, в которые можно поступить в 2019 году;Список вузов Псковской области, в которые можно поступить в 2019 году;Список вузов Псковской области, в которые можно поступить в 2019 году;vuzy-pskovskoj-oblasti
Вузы республики Адыгея;По фильтру;17;https://propostuplenie.ru/university/?Region[]=17;Список вузов республики Адыгея, в которые можно поступить в 2019 году;Список вузов республики Адыгея, в которые можно поступить в 2019 году;Список вузов республики Адыгея, в которые можно поступить в 2019 году;vuzy-respubliki-adygeya
Вузы республики Алтая;По фильтру;32;https://propostuplenie.ru/university/?Region[]=32;Список вузов республики Алтая, в которые можно поступить в 2019 году;Список вузов республики Алтая, в которые можно поступить в 2019 году;Список вузов республики Алтая, в которые можно поступить в 2019 году;vuzy-respubliki-altaya
Вузы республики Башкортостан;По фильтру;57;https://propostuplenie.ru/university/?Region[]=57;Список вузов республики Башкортостан, в которые можно поступить в 2019 году;Список вузов республики Башкортостан, в которые можно поступить в 2019 году;Список вузов республики Башкортостан, в которые можно поступить в 2019 году;vuzy-respubliki-bashkortostan
Вузы республики Бурятия;По фильтру;51;https://propostuplenie.ru/university/?Region[]=51;Список вузов республики Бурятия, в которые можно поступить в 2019 году;Список вузов республики Бурятия, в которые можно поступить в 2019 году;Список вузов республики Бурятия, в которые можно поступить в 2019 году;vuzy-respubliki-buryatiya
Вузы республики Дагестан;По фильтру;6;https://propostuplenie.ru/university/?Region[]=6;Список вузов республики Дагестан, в которые можно поступить в 2019 году;Список вузов республики Дагестан, в которые можно поступить в 2019 году;Список вузов республики Дагестан, в которые можно поступить в 2019 году;vuzy-respubliki-dagestan
Вузы республики Башкортостан;По фильтру;8;https://propostuplenie.ru/university/?Region[]=8;Список вузов республики Башкортостан, в которые можно поступить в 2019 году;Список вузов республики Башкортостан, в которые можно поступить в 2019 году;Список вузов республики Башкортостан, в которые можно поступить в 2019 году;vuzy-respubliki-bashkortostan
Вузы республики Калмыкия;По фильтру;26;https://propostuplenie.ru/university/?Region[]=26;Список вузов республики Калмыкия, в которые можно поступить в 2019 году;Список вузов республики Калмыкия, в которые можно поступить в 2019 году;Список вузов республики Калмыкия, в которые можно поступить в 2019 году;vuzy-respubliki-kalmykiya
Вузы республики Карелия;По фильтру;53;https://propostuplenie.ru/university/?Region[]=53;Список вузов республики Карелия, в которые можно поступить в 2019 году;Список вузов республики Карелия, в которые можно поступить в 2019 году;Список вузов республики Карелия, в которые можно поступить в 2019 году;vuzy-respubliki-kareliya
Вузы республики Коми;По фильтру;60;https://propostuplenie.ru/university/?Region[]=60;Список вузов республики Коми, в которые можно поступить в 2019 году;Список вузов республики Коми, в которые можно поступить в 2019 году;Список вузов республики Коми, в которые можно поступить в 2019 году;vuzy-respubliki-komi
Вузы республики Крым;По фильтру;82;https://propostuplenie.ru/university/?Region[]=82;Список вузов республики Крым, в которые можно поступить в 2019 году;Список вузов республики Крым, в которые можно поступить в 2019 году;Список вузов республики Крым, в которые можно поступить в 2019 году;vuzy-respubliki-krym
Вузы республики Марий Эл;По фильтру;74;https://propostuplenie.ru/university/?Region[]=74;Список вузов республики Марий Эл, в которые можно поступить в 2019 году;Список вузов республики Марий Эл, в которые можно поступить в 2019 году;Список вузов республики Марий Эл, в которые можно поступить в 2019 году;vuzy-respubliki-marij-ehl
Вузы республики Мордовия;По фильтру;22;https://propostuplenie.ru/university/?Region[]=22;Список вузов республики Мордовия, в которые можно поступить в 2019 году;Список вузов республики Мордовия, в которые можно поступить в 2019 году;Список вузов республики Мордовия, в которые можно поступить в 2019 году;vuzy-respubliki-mordoviya
Вузы республики Саха (Якутия);По фильтру;33;https://propostuplenie.ru/university/?Region[]=33;Список вузов республики Саха (Якутия), в которые можно поступить в 2019 году;Список вузов республики Саха (Якутия), в которые можно поступить в 2019 году;Список вузов республики Саха (Якутия), в которые можно поступить в 2019 году;vuzy-respubliki-saha-yakutiya
Вузы республики Северная Осетия;По фильтру;11;https://propostuplenie.ru/university/?Region[]=11;Список вузов республики Северная Осетия, в которые можно поступить в 2019 году;Список вузов республики Северная Осетия, в которые можно поступить в 2019 году;Список вузов республики Северная Осетия, в которые можно поступить в 2019 году;vuzy-respubliki-severnaya-osetiya
Вузы республики Татарстан;По фильтру;45;https://propostuplenie.ru/university/?Region[]=45;Список вузов республики Татарстан, в которые можно поступить в 2019 году;Список вузов республики Татарстан, в которые можно поступить в 2019 году;Список вузов республики Татарстан, в которые можно поступить в 2019 году;vuzy-respubliki-tatarstan
Вузы республики Тыва;По фильтру;49;https://propostuplenie.ru/university/?Region[]=49;Список вузов республики Тыва, в которые можно поступить в 2019 году;Список вузов республики Тыва, в которые можно поступить в 2019 году;Список вузов республики Тыва, в которые можно поступить в 2019 году;vuzy-respubliki-tyva
Вузы республики Хакасия;По фильтру;62;https://propostuplenie.ru/university/?Region[]=62;Список вузов республики Хакасия, в которые можно поступить в 2019 году;Список вузов республики Хакасия, в которые можно поступить в 2019 году;Список вузов республики Хакасия, в которые можно поступить в 2019 году;vuzy-respubliki-hakasiya
Вузы ростовской области;По фильтру;3;https://propostuplenie.ru/university/?Region[]=3;Список вузов ростовской области, в которые можно поступить в 2019 году;Список вузов ростовской области, в которые можно поступить в 2019 году;Список вузов ростовской области, в которые можно поступить в 2019 году;vuzy-rostovskoj-oblasti
Вузы Рязанской области;По фильтру;67;https://propostuplenie.ru/university/?Region[]=67;Список вузов Рязанской области, в которые можно поступить в 2019 году;Список вузов Рязанской области, в которые можно поступить в 2019 году;Список вузов Рязанской области, в которые можно поступить в 2019 году;vuzy-ryazanskoj-oblasti
Вузы Самарской области;По фильтру;71;https://propostuplenie.ru/university/?Region[]=71;Список вузов Самарской области, в которые можно поступить в 2019 году;Список вузов Самарской области, в которые можно поступить в 2019 году;Список вузов Самарской области, в которые можно поступить в 2019 году;vuzy-samarskoj-oblasti
Вузы Саратовской области;По фильтру;21;https://propostuplenie.ru/university/?Region[]=21;Список вузов Саратовской области, в которые можно поступить в 2019 году;Список вузов Саратовской области, в которые можно поступить в 2019 году;Список вузов Саратовской области, в которые можно поступить в 2019 году;vuzy-saratovskoj-oblasti
Вузы Сахалинской области;По фильтру;72;https://propostuplenie.ru/university/?Region[]=72;Список вузов Сахалинской области, в которые можно поступить в 2019 году;Список вузов Сахалинской области, в которые можно поступить в 2019 году;Список вузов Сахалинской области, в которые можно поступить в 2019 году;vuzy-sahalinskoj-oblasti
Вузы Свердловской области;По фильтру;27;https://propostuplenie.ru/university/?Region[]=27;Список вузов Свердловской области, в которые можно поступить в 2019 году;Список вузов Свердловской области, в которые можно поступить в 2019 году;Список вузов Свердловской области, в которые можно поступить в 2019 году;vuzy-sverdlovskoj-oblasti
Вузы Смоленской области;По фильтру;18;https://propostuplenie.ru/university/?Region[]=18;Список вузов Смоленской области, в которые можно поступить в 2019 году;Список вузов Смоленской области, в которые можно поступить в 2019 году;Список вузов Смоленской области, в которые можно поступить в 2019 году;vuzy-smolenskoj-oblasti
Вузы Ставрополой области;По фильтру;29;https://propostuplenie.ru/university/?Region[]=29;Список вузов Ставрополой области, в которые можно поступить в 2019 году;Список вузов Ставрополой области, в которые можно поступить в 2019 году;Список вузов Ставрополой области, в которые можно поступить в 2019 году;vuzy-stavropoloj-oblasti
Вузы Таджикистана;По фильтру;136;https://propostuplenie.ru/university/?Region[]=136;Список вузов Таджикистана, в которые можно поступить в 2019 году;Список вузов Таджикистана, в которые можно поступить в 2019 году;Список вузов Таджикистана, в которые можно поступить в 2019 году;vuzy-tadzhikistana
Вузы Тамбовской области;По фильтру;44;https://propostuplenie.ru/university/?Region[]=44;Список вузов Тамбовской области, в которые можно поступить в 2019 году;Список вузов Тамбовской области, в которые можно поступить в 2019 году;Список вузов Тамбовской области, в которые можно поступить в 2019 году;vuzy-tambovskoj-oblasti
Вузы Тверской области;По фильтру;41;https://propostuplenie.ru/university/?Region[]=41;Список вузов Тверской области, в которые можно поступить в 2019 году;Список вузов Тверской области, в которые можно поступить в 2019 году;Список вузов Тверской области, в которые можно поступить в 2019 году;vuzy-tverskoj-oblasti
Вузы Томской области;По фильтру;37;https://propostuplenie.ru/university/?Region[]=37;Список вузов Томской области, в которые можно поступить в 2019 году;Список вузов Томской области, в которые можно поступить в 2019 году;Список вузов Томской области, в которые можно поступить в 2019 году;vuzy-tomskoj-oblasti
Вузы Тульской области;По фильтру;69;https://propostuplenie.ru/university/?Region[]=69;Список вузов Тульской области, в которые можно поступить в 2019 году;Список вузов Тульской области, в которые можно поступить в 2019 году;Список вузов Тульской области, в которые можно поступить в 2019 году;vuzy-tulskoj-oblasti
Вузы Тюменской области;По фильтру;76;https://propostuplenie.ru/university/?Region[]=76;Список вузов Тюменской области, в которые можно поступить в 2019 году;Список вузов Тюменской области, в которые можно поступить в 2019 году;Список вузов Тюменской области, в которые можно поступить в 2019 году;vuzy-tyumenskoj-oblasti
Вузы республики Удмуртия;По фильтру;68;https://propostuplenie.ru/university/?Region[]=68;Список вузов республики Удмуртия, в которые можно поступить в 2019 году;Список вузов республики Удмуртия, в которые можно поступить в 2019 году;Список вузов республики Удмуртия, в которые можно поступить в 2019 году;vuzy-respubliki-udmurtiya
Вузы Узбекистана;По фильтру;141;https://propostuplenie.ru/university/?Region[]=141;Список вузов Узбекистана, в которые можно поступить в 2019 году;Список вузов Узбекистана, в которые можно поступить в 2019 году;Список вузов Узбекистана, в которые можно поступить в 2019 году;vuzy-uzbekistana
Вузы Ульяновской области;По фильтру;55;https://propostuplenie.ru/university/?Region[]=55;Список вузов Ульяновской области, в которые можно поступить в 2019 году;Список вузов Ульяновской области, в которые можно поступить в 2019 году;Список вузов Ульяновской области, в которые можно поступить в 2019 году;vuzy-ulyanovskoj-oblasti
Вузы Хабароой области;По фильтру;16;https://propostuplenie.ru/university/?Region[]=16;Список вузов Хабароой области, в которые можно поступить в 2019 году;Список вузов Хабароой области, в которые можно поступить в 2019 году;Список вузов Хабароой области, в которые можно поступить в 2019 году;vuzy-habarooj-oblasti
Вузы республики Ханты-ия;По фильтру;34;https://propostuplenie.ru/university/?Region[]=34;Список вузов республики Ханты-ия, в которые можно поступить в 2019 году;Список вузов республики Ханты-ия, в которые можно поступить в 2019 году;Список вузов республики Ханты-ия, в которые можно поступить в 2019 году;vuzy-respubliki-hanty-iya
Вузы Челябинской области;По фильтру;46;https://propostuplenie.ru/university/?Region[]=46;Список вузов Челябинской области, в которые можно поступить в 2019 году;Список вузов Челябинской области, в которые можно поступить в 2019 году;Список вузов Челябинской области, в которые можно поступить в 2019 году;vuzy-chelyabinskoj-oblasti
Вузы Чеченская ой области;По фильтру;7;https://propostuplenie.ru/university/?Region[]=7;Список вузов Чеченская ой области, в которые можно поступить в 2019 году;Список вузов Чеченская ой области, в которые можно поступить в 2019 году;Список вузов Чеченская ой области, в которые можно поступить в 2019 году;vuzy-chechenskaya-oj-oblasti
Вузы Чувашская ой области;По фильтру;39;https://propostuplenie.ru/university/?Region[]=39;Список вузов Чувашская ой области, в которые можно поступить в 2019 году;Список вузов Чувашская ой области, в которые можно поступить в 2019 году;Список вузов Чувашская ой области, в которые можно поступить в 2019 году;vuzy-chuvashskaya-oj-oblasti
Вузы Чукотский автоноой области;По фильтру;83;https://propostuplenie.ru/university/?Region[]=83;Список вузов Чукотский автоноой области, в которые можно поступить в 2019 году;Список вузов Чукотский автоноой области, в которые можно поступить в 2019 году;Список вузов Чукотский автоноой области, в которые можно поступить в 2019 году;vuzy-chukotskij-avtonooj-oblasti
Вузы республики Ямало-ия;По фильтру;80;https://propostuplenie.ru/university/?Region[]=80;Список вузов республики Ямало-ия, в которые можно поступить в 2019 году;Список вузов республики Ямало-ия, в которые можно поступить в 2019 году;Список вузов республики Ямало-ия, в которые можно поступить в 2019 году;vuzy-respubliki-yamalo-iya
Вузы Ярославской области;По фильтру;35;https://propostuplenie.ru/university/?Region[]=35;Список вузов Ярославской области, в которые можно поступить в 2019 году;Список вузов Ярославской области, в которые можно поступить в 2019 году;Список вузов Ярославской области, в которые можно поступить в 2019 году;vuzy-yaroslavskoj-oblasti
